"maling_files_link","Måling","N","omraade","valg","parti","prosent","mandat","stemmer","Dato","total_mandat_fylke"
"?cmd=Maling&gallupid=1036","Respons / Aftenbladet - 5/4-2011",800,"Stavanger","Kommunestyrevalg","Ap",24.4,16,195,2011-04-05,67
"?cmd=Maling&gallupid=1037","TNS / TV2 - 5/4-2011",969,"Hele landet","Stortingsvalg","Ap",30.7,57,297,2011-04-05,169
"?cmd=Maling&gallupid=1038","Norfakta / Fjordabl. - 5/4-2011",400,"Eid","Kommunestyrevalg","Ap",6.2,2,25,2011-04-05,29
"?cmd=Maling&gallupid=1039","Norstat / NRK - 7/4-2011",NA,"Hele landet","Stortingsvalg","Ap",32.3,58,NA,2011-04-07,173
"?cmd=Maling&gallupid=1040","Respons / Aftenp - 14/3-2011",1005,"Hele landet","Stortingsvalg","Ap",29,52,291,2011-03-14,169
"?cmd=Maling&gallupid=1041","Sentio / T-A - 8/4-2011",500,"Nord-Trøndelag","Fylkestingsvalg","Ap",35.9,13,180,2011-04-08,35
"?cmd=Maling&gallupid=1042","Norfakta / LLA - 8/4-2011",1000,"Hele landet","Kommunestyrevalg","Ap",26.3,3052,263,2011-04-08,10952
"?cmd=Maling&gallupid=1043","Norfakta / TB - 9/4-2011",600,"Melhus","Kommunestyrevalg","Ap",34,13,204,2011-04-09,37
"?cmd=Maling&gallupid=1044","Norfakta / TB - 9/4-2011",500,"Midtre Gauldal","Kommunestyrevalg","Ap",33.1,11,166,2011-04-09,33
"?cmd=Maling&gallupid=1045","Norfakta / Nat. / KK - 9/4-2011",1000,"Hele landet","Stortingsvalg","Ap",29.1,50,291,2011-04-09,169
"?cmd=Maling&gallupid=1046","Respons / Aftenp - 9/4-2011",1001,"Hele landet","Kommunestyrevalg","Ap",30.5,3498,305,2011-04-09,10952
"?cmd=Maling&gallupid=1047","Respons / Aftenp - 11/4-2011",1001,"Hele landet","Stortingsvalg","Ap",32.4,57,324,2011-04-11,169
"?cmd=Maling&gallupid=1048","Respons / BT / NRK - 13/4-2011",802,"Sogn og Fjordane","Fylkestingsvalg","Ap",23.6,9,189,2011-04-13,39
"?cmd=Maling&gallupid=1049","Opinion / ANB - 14/4-2011",1000,"Hele landet","Stortingsvalg","Ap",25.5,46,255,2011-04-14,169
"?cmd=Maling&gallupid=1050","Norfakta / Vestav. - 14/4-2011",350,"Sveio","Kommunestyrevalg","Ap",18.2,5,64,2011-04-14,25
"?cmd=Maling&gallupid=1051","Sentio / DN - 15/4-2011",1000,"Hele landet","Stortingsvalg","Ap",26.6,47,266,2011-04-15,169
"?cmd=Maling&gallupid=1052","Respons / Fevennen - 15/4-2011",800,"Vest-Agder","Fylkestingsvalg","Ap",23.2,9,186,2011-04-15,35
"?cmd=Maling&gallupid=1053","Respons / Fevennen - 15/4-2011",802,"Aust-Agder","Fylkestingsvalg","Ap",24.6,8,197,2011-04-15,35
"?cmd=Maling&gallupid=1054","Respons / Aftenbladet - 15/4-2011",800,"Rogaland","Fylkestingsvalg","Ap",22.5,11,180,2011-04-15,47
"?cmd=Maling&gallupid=1055","Norfakta / Varingen - 15/4-2011",600,"Nittedal","Kommunestyrevalg","Ap",28.2,8,169,2011-04-15,29
"?cmd=Maling&gallupid=1056","SMI / SB - 15/4-2011",400,"Sandefjord","Kommunestyrevalg","Ap",21.2,8,85,2011-04-15,39
"?cmd=Maling&gallupid=1057","Respons / Fevennen - 16/4-2011",800,"Kristiansand","Kommunestyrevalg","Ap",26.3,15,210,2011-04-16,53
"?cmd=Maling&gallupid=1058","Norfakta / Avisa ST - 16/4-2011",600,"Orkdal","Kommunestyrevalg","Ap",29.3,10,176,2011-04-16,35
"?cmd=Maling&gallupid=1059","TNS / BA - 18/4-2011",602,"Bergen","Kommunestyrevalg","Ap",25.2,17,152,2011-04-18,66
"?cmd=Maling&gallupid=1060","Respons / BT - 18/4-2011",602,"Bergen","Kommunestyrevalg","Ap",26.1,18,157,2011-04-18,67
"?cmd=Maling&gallupid=1061","Respons / Aftenbladet - 18/4-2011",600,"Sandnes","Kommunestyrevalg","Ap",20.2,10,121,2011-04-18,49
"?cmd=Maling&gallupid=1062","TNS / TV2 - 18/4-2011",969,"Hele landet","Kommunestyrevalg","Ap",28.9,3363,280,2011-04-18,10952
"?cmd=Maling&gallupid=1063","Norfakta / HA - 19/4-2011",600,"Karmøy","Kommunestyrevalg","Ap",19.4,9,116,2011-04-19,45
"?cmd=Maling&gallupid=1064","Norfakta / HA - 20/4-2011",600,"Haugesund","Kommunestyrevalg","Ap",22.4,11,134,2011-04-20,49
"?cmd=Maling&gallupid=1065","TNS / BA - 21/4-2011",602,"Bergen","Stortingsvalg","Ap",26.4,0,159,2011-04-21,0
"?cmd=Maling&gallupid=1066","InFact / VG - 23/4-2011",2039,"Hele landet","Kommunestyrevalg","Ap",28.5,3286,581,2011-04-23,10952
"?cmd=Maling&gallupid=1067","Norstat / VL - 26/4-2011",1000,"Hele landet","Stortingsvalg","Ap",28.2,49,282,2011-04-26,169
"?cmd=Maling&gallupid=1068","Sentio / TB - 26/4-2011",401,"Tønsberg","Kommunestyrevalg","Ap",21.6,8,87,2011-04-26,39
"?cmd=Maling&gallupid=1069","Sentio / SMP / TK / RB / NRK - 26/4-2011",600,"Møre og Romsdal","Fylkestingsvalg","Ap",18.4,9,110,2011-04-26,47
"?cmd=Maling&gallupid=1070","SMI / Drangedalsp. - 28/4-2011",300,"Drangedal","Kommunestyrevalg","Ap",35.1,7,105,2011-04-28,21
"?cmd=Maling&gallupid=1071","Norfakta / H-F - 29/4-2011",300,"Frøya","Kommunestyrevalg","Ap",29,7,87,2011-04-29,23
"?cmd=Maling&gallupid=1072","Sentio / SMP - 29/4-2011",NA,"Hele landet","Stortingsvalg","Ap",31.7,57,NA,2011-04-29,169
"?cmd=Maling&gallupid=1073","Norfakta / Hordaland - 30/4-2011",600,"Voss","Kommunestyrevalg","Ap",23.4,10,140,2011-04-30,43
"?cmd=Maling&gallupid=1074","Opinion / SA - 30/4-2011",726,"Sarpsborg","Kommunestyrevalg","Ap",44,20,319,2011-04-30,43
"?cmd=Maling&gallupid=1075","Ipsos / Dagbladet - 2/5-2011",955,"Hele landet","Stortingsvalg","Ap",31.7,57,303,2011-05-02,169
"?cmd=Maling&gallupid=1076","TNS / TV2 - 2/5-2011",971,"Hele landet","Kommunestyrevalg","Ap",27.3,3165,265,2011-05-02,10952
"?cmd=Maling&gallupid=1077","Norfakta / H-F - 3/5-2011",300,"Hitra","Kommunestyrevalg","Ap",29.2,7,88,2011-05-03,23
"?cmd=Maling&gallupid=1078","Norstat / NRK - 5/5-2011",NA,"Hele landet","Stortingsvalg","Ap",28.9,50,NA,2011-05-05,169
"?cmd=Maling&gallupid=1079","Norfakta / EUB - 7/5-2011",600,"Eidsvoll","Kommunestyrevalg","Ap",26.5,10,159,2011-05-07,35
"?cmd=Maling&gallupid=1080","Norfakta / Nat. / KK - 7/5-2011",1000,"Hele landet","Stortingsvalg","Ap",31.6,56,316,2011-05-07,169
"?cmd=Maling&gallupid=1081","Norfakta / EUB - 9/5-2011",200,"Hurdal","Kommunestyrevalg","Ap",25.3,4,51,2011-05-09,17
"?cmd=Maling&gallupid=1082","Norfakta / Grannar - 9/5-2011",350,"Etne","Kommunestyrevalg","Ap",26.7,5,93,2011-05-09,21
"?cmd=Maling&gallupid=1083","Norfakta / EUB - 10/5-2011",600,"Nannestad","Kommunestyrevalg","Ap",34.7,11,208,2011-05-10,31
"?cmd=Maling&gallupid=1084","InFact / Frp - 10/5-2011",559,"Førde","Kommunestyrevalg","Ap",22,6,123,2011-05-10,27
"?cmd=Maling&gallupid=1085","Norfakta / EUB - 11/5-2011",600,"Ullensaker","Kommunestyrevalg","Ap",26.2,12,157,2011-05-11,45
"?cmd=Maling&gallupid=1086","TNS / TV2 - 11/5-2011",960,"Hele landet","Stortingsvalg","Ap",30.4,53,292,2011-05-11,168
"?cmd=Maling&gallupid=1087","Opinion / ANB - 12/5-2011",1000,"Hele landet","Stortingsvalg","Ap",26.7,48,267,2011-05-12,169
